objectid,title,format,filename,date,subject,location,latitude,longitude,description
item30,Photograph: Exterior Power Station Entrance ,image/jpg,photo7.jpg,2021,Exterior View; Power Station; ,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of outside the Niagara Parks Power Station building. 
item31,Photograph: Niagara Falls East View 3,image/jpg,photo8.jpg,2021,Niagara Falls; Waterfall; ,"Niagara Falls, Ontario",43.07838965,-79.07981282,A photograph I have taken whilst visiting Niagara Falls showing the Canadian Side of the Falls from the east.
item32,Photograph: Niagara Falls East View 4,image/jpg,photo9.jpg,2021,Niagara Falls; Waterfall; ,"Niagara Falls, Ontario",43.07838965,-79.07981282,A photograph I have taken whilst visiting Niagara Falls showing the Canadian Side of the Falls from the east.
item33,Photograph: Dynamos in the Power Station 3,image/jpg,photo10.jpg,2021,Dynamo; Interior View; ,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of the view inside the Niagara Parks Power Station featuring the dynamos. 
item34,Photograph: Alternator Close-Up,image/jpg,photo11.jpg,2021,Alternator; Interior View,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A close-up photograph of an alternator. 
item35,Photograph: Interior Power Station From Back ,image/jpg,photo12.jpg,2021,Interior View; Power Station,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of the view inside the Niagara Parks Power Station. 
item36,Photograph: Connected by Water Section,image/jpg,photo13.jpg,2021,Interior View; Power Station,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of the 'Connected By Water' display.
item37,Photograph: Exterior Power Station From Entrance ,image/jpg,photo14.jpg,2021,Exterior View; ,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph taken outside the Niagara Parks Power Station building. 
item38,Photograph: Interior Power Station Centre,image/jpg,photo15.jpg,2021,Interior View; Power Station,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of the inside of the power station with a view of the alternators.
item39,Photograph: Tesla Blueprint of a Dynamo,image/jpg,photo16.jpg,2021,Interior View; Power Station,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,A photograph of Tesla's blueprint of the dynamos machinary. 
item40,"Photograph: ""How Water Flows Through The Plant"" Diagram",image/jpg,photo17.jpg,2021,Technical Drawing; Dynamo; Power Station,"Niagara Parks Power Station, Niagara Falls",43.07529235,-79.07940582,This photograph of an information board at the Niagara Power Station describes how electricity is generated in the hydroelectric plant - with the energy the water creates when it drops becoming an alternating current by the generators.
